"numero","estado","numero_cuenta","comprobante_nro","Monto Total","Tasa administrativa","Tasa infraccion","medio_pago","tipo","juzgado","created_at","fecha_pago","fecha_acreditacion"
CM-001073       ,Cancelada,CAUSAF00000000716275,3.646.126,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-06-03 13:08:52,2026-03-02 21:00:00,2026-03-09 21:00:00
CM-001129       ,Cancelada,CAUSAF00000000726260,3.625.366,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 4,2022-06-21 12:36:34,2026-02-05 21:00:00,2026-02-11 21:00:00
CM-001144       ,Cancelada,CAUSAF00000000726283,3.750.740,155.472,13.272,142.200,MERCADOPAGO,MOVIL,Juzgado 5,2022-06-21 12:39:52,2026-04-26 21:00:00,2026-04-27 21:00:00
CM-001173       ,Cancelada,CAUSAF00000000726445,3.650.511,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-06-21 13:04:07,2026-03-24 21:00:00,2026-03-24 21:00:00
CM-001242       ,Cancelada,CAUSAF00000000726674,3.618.580,148.174,12.649,135.525,MERCADOPAGO,MOVIL,Juzgado 5,2022-06-21 14:03:22,2026-01-28 21:00:00,2026-01-29 21:00:00
CM-001386       ,Cancelada,CAUSAF00000000726879,3.622.092,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-06-22 10:17:55,2026-02-02 21:00:00,2026-02-02 21:00:00
CM-001585       ,Cancelada,CAUSAF00000000727264,3.651.926,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-06-22 13:29:15,2026-03-08 21:00:00,2026-03-08 21:00:00
CM-001619       ,Cancelada,CAUSAF00000000727308,3.594.881,148.174,12.649,135.525,MERCADOPAGO,MOVIL,Juzgado 3,2022-06-22 13:44:11,2026-01-15 21:00:00,2026-01-18 21:00:00
CM-001635       ,Cancelada,CAUSAF00000000727330,55.989.460,283.699,13.272,270.427,SUGIT,MOVIL,Juzgado 2,2022-06-22 13:57:07,2026-02-02 21:00:00,2026-03-12 21:00:00
CM-001648       ,Cancelada,CAUSAF00000000727348,3.596.196,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-06-22 14:13:16,2026-03-10 21:00:00,2026-03-10 21:00:00
CM-001813       ,Cancelada,CAUSAF00000000728245,3.587.876,140.302,12.649,127.653,MERCADOPAGO,MOVIL,Juzgado 4,2022-06-24 05:46:18,2026-01-07 21:00:00,2026-01-08 21:00:00
CM-001857       ,Cancelada,CAUSAF00000000728293,3.619.405,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 4,2022-06-24 06:03:11,2026-01-29 21:00:00,2026-01-29 21:00:00
CM-001895       ,Cancelada,CAUSAF00000000728336,3.659.582,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-06-24 06:21:45,2026-03-12 21:00:00,2026-03-12 21:00:00
CM-002015       ,Cancelada,CAUSAF00000000728606,3.760.130,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 2,2022-06-24 08:17:10,2026-04-29 21:00:00,2026-05-06 21:00:00
CM-002015       ,Cancelada,CAUSAF00000000728606,3.761.240,155.472,15.505,139.967,MERCADOPAGO,MOVIL,Juzgado 2,2022-06-24 08:17:10,2026-04-30 21:00:00,2026-05-03 21:00:00
CM-002067       ,Cancelada,CAUSAF00000000728726,3.634.795,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-06-24 09:12:21,2026-02-17 21:00:00,2026-02-23 21:00:00
CM-002124       ,Cancelada,CAUSAF00000000728791,3.596.016,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 5,2022-06-24 09:34:58,2026-01-18 21:00:00,2026-01-18 21:00:00
CM-002147       ,Cancelada,CAUSAF00000000728816,3.624.208,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-06-24 09:42:38,2026-02-04 21:00:00,2026-02-10 21:00:00
CM-002195       ,Cancelada,CAUSAF00000000728865,3.661.674,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 2,2022-06-24 10:06:33,2026-03-16 21:00:00,2026-03-16 21:00:00
CM-002263       ,Cancelada,CAUSAF00000000734930,3.592.844,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-06-29 11:56:21,2026-01-13 21:00:00,2026-01-19 21:00:00
CM-002305       ,Cancelada,CAUSAF00000000736163,3.637.375,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-06-30 10:28:50,2026-02-19 21:00:00,2026-02-25 21:00:00
CM-002361       ,Cancelada,CAUSAF00000000748620,3.620.763,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 2,2022-07-20 06:47:28,2026-02-01 21:00:00,2026-02-05 21:00:00
CM-002454       ,Cancelada,CAUSAF00000000753883,3.596.846,148.174,12.649,135.525,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-07-26 09:03:04,2026-01-19 21:00:00,2026-01-19 21:00:00
CM-002476       ,Cancelada,CAUSAF00000000753925,3.753.259,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-07-26 09:35:05,2026-04-27 21:00:00,2026-04-27 21:00:00
CM-002486       ,Cancelada,CAUSAF00000000754008,3.592.852,148.174,12.649,135.525,BAPRO,MOVIL,Juzgado 1,2022-07-26 10:20:32,2026-01-13 21:00:00,2026-01-19 21:00:00
CM-002526       ,Cancelada,CAUSAF00000000754238,3.618.575,148.174,12.649,135.525,MERCADOPAGO,MOVIL,Juzgado 5,2022-07-26 12:01:32,2026-01-28 21:00:00,2026-01-29 21:00:00
CM-002559       ,Cancelada,CAUSAF00000000760451,3.594.078,283.699,12.649,271.050,MERCADOPAGO,MOVIL,Juzgado 5,2022-08-03 05:18:11,2026-01-15 21:00:00,2026-01-18 21:00:00
CM-002658       ,Cancelada,CAUSAF00000000767572,3.736.622,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 3,2022-08-12 06:14:52,2026-04-15 21:00:00,2026-04-15 21:00:00
CM-002769       ,Cancelada,CAUSAF00000000780020,3.655.504,155.472,13.272,142.200,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-08-29 08:50:28,2026-03-11 21:00:00,2026-03-11 21:00:00
CM-002780       ,Cancelada,CAUSAF00000000780259,3.767.097,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 3,2022-08-29 12:01:41,2026-05-06 21:00:00,2026-05-12 21:00:00
CM-002856       ,Cancelada,CAUSAF00000000785380,3.589.184,54.752,11.977,42.775,CAJA DE TESORERÍA,MOVIL,Juzgado 1,2022-09-01 11:56:41,2026-01-08 21:00:00,2026-01-08 21:00:00
CM-002871       ,Cancelada,CAUSAF00000000785671,3.759.926,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 2,2022-09-01 13:04:08,2026-04-29 21:00:00,2026-05-06 21:00:00
CM-002916       ,Cancelada,CAUSAF00000000785932,3.666.349,155.472,13.272,142.200,BAPRO,MOVIL,Juzgado 4,2022-09-01 14:01:21,2026-03-25 21:00:00,2026-03-31 21:00:00
