"instalacion","cant","importe_final"
25 de Mayo y Av. San Martín (hacia el este),340,90.727.329
25 de Mayo y Doctor Arturo Melo,548,120.248.794
29 de Septiembre y Cordero 1 (Norte),327,61.319.668
29 de Septiembre y Cordero 2 (Sur),237,38.242.192
29 de Septiembre y Esquiú,348,"50.321.059,1"
Avenida Hipolito Yrigoyen 2817 Sent.Asc,904,162.318.501
Avenida Hipolito Yrigoyen 2868 Sent.Desc,3637,676.123.364
Avenida Hipolito Yrigoyen 6533 Sent.Asc.,1933,333.740.365
Avenida Hipolito Yrigoyen 6576 Sent.Desc,1708,291.438.342
Av. Hipólito Yrigoyen & De la Cruz,679,154.441.633
Av. Hipólito Yrigoyen & Fray Luis Beltrán,1064,219.473.177
Av. Hipólito Yrigoyen & Raúl Alfonsín,755,158.985.753
Av. Pres. Hipólito Yrigoyen y O'Higgins,692,"200.112.972,67"
Av. Presidente Bernardino Rivadavia y Av. Remedios de Escalada de San Martín,193,23.085.258
Av. Pres. Yrigoyen e Int. Manuel Quindimil,1018,131.920.127
Av. Pte. Hipolito Yrigoyen y Av. Remedios de Escalada de San Martín,1526,"275.821.782,6"
Av. Pte. Hipólito Yrigoyen y Riobamba,462,"79.596.691,1"
Av. San Martín y Viamonte (hacia el sur),401,89.462.336
Cámara Móvil 1,2581,"351.335.998,7"
Cámara Móvil 2,43,15.216.764
Gobernador Bernardo de Irigoyen & Avenida Hipólito Yrigoyen,1235,126.445.733
PDA,4917,"1.259.221.681,96"
Presidente Raul Alfonsin y General Madariaga,959,82.855.781
Pte. Alfonsín y Sarmiento,1085,"202.701.555,5"
Remedios de Escalada y Pte. Perón,1265,"198.610.659,5"
San Martín y Aristóbulo del Valle,1246,166.029.901
San Martín y Remedios de Escalada,33,"10.318.043,1"

