"valor_uf","desde","hasta"
2215,2026-04-30 21:00:00,
1896,2026-02-28 21:00:00,2026-04-30 21:00:00
1807,2025-12-31 21:00:00,2026-02-28 21:00:00
1711,2025-10-31 21:00:00,2025-12-31 21:00:00
1606,2025-08-31 21:00:00,2025-10-31 21:00:00
1435,2025-06-30 21:00:00,2025-08-31 21:00:00
1416,2025-05-05 21:00:00,2025-06-30 21:00:00
1506,2025-04-30 21:00:00,2025-05-05 21:00:00
1452,2025-02-28 21:00:00,2025-04-30 21:00:00
1398,2024-12-31 21:00:00,2025-02-28 21:00:00
1336,2024-10-31 21:00:00,2024-12-31 21:00:00
1299,2024-08-31 21:00:00,2024-10-30 21:00:00
1230,2024-06-30 21:00:00,2024-08-30 21:00:00
1137,2024-04-30 21:00:00,2024-06-29 21:00:00
1010,2024-02-29 21:00:00,2024-04-29 21:00:00
771,2023-12-31 21:00:00,2024-02-28 21:00:00
290,2023-06-30 21:00:00,2023-12-30 21:00:00
257,2023-04-30 21:00:00,2023-06-30 21:00:00
230,2023-02-28 21:00:00,2023-04-30 21:00:00
204,2022-12-31 21:00:00,2023-02-28 21:00:00
182,2022-10-31 21:00:00,2022-12-31 21:00:00
172,2022-09-20 21:00:00,2022-10-31 21:00:00
157,2022-06-30 21:00:00,2022-09-20 21:00:00
123,2022-03-02 21:00:00,2022-06-29 21:00:00
91,2021-03-18 21:00:00,2022-03-01 21:00:00
79.9,2020-12-31 21:00:00,2021-03-18 21:00:00
63.1,2020-01-02 21:00:00,2020-12-30 21:00:00
53.8,2019-11-06 21:00:00,2020-01-01 21:00:00
51.7,2019-06-30 21:00:00,2019-11-06 21:00:00
49.7,2019-05-05 21:00:00,2019-06-29 21:00:00
44.5,2019-03-05 21:00:00,2019-05-05 21:00:00
44.2,2019-01-06 21:00:00,2019-03-05 21:00:00
44.3,2018-11-06 21:00:00,2019-01-06 21:00:00
36.5,2018-09-09 21:00:00,2018-11-06 21:00:00
31.5,2018-06-28 21:00:00,2018-09-09 21:00:00
30.0,2018-05-06 21:00:00,2018-06-28 21:00:00
29.0,2018-04-15 21:00:00,2018-05-06 21:00:00
25.6,2017-11-29 21:00:00,2018-04-15 21:00:00
22.9,2017-10-29 21:00:00,2017-11-29 21:00:00
21.4,2017-03-26 21:00:00,2017-10-29 21:00:00
19.8,2016-07-12 21:00:00,2017-03-26 21:00:00
18.0,2016-05-10 21:00:00,2016-07-12 21:00:00
14.3,2015-11-15 21:00:00,2016-05-10 21:00:00
13.8,2015-10-14 21:00:00,2015-11-15 21:00:00
13.1,2015-03-31 21:00:00,2015-10-14 21:00:00
11.9,2014-07-21 21:00:00,2015-03-31 21:00:00
9.99,2014-06-25 21:00:00,2014-07-21 21:00:00
8.08,2014-01-06 21:00:00,2014-06-25 21:00:00
7.09,2013-03-19 21:00:00,2014-01-06 21:00:00
6.60,2012-12-03 21:00:00,2013-03-19 21:00:00
6.50,2012-05-02 21:00:00,2012-12-03 21:00:00
6.05,2011-09-06 21:00:00,2012-05-02 21:00:00
5.35,2011-07-10 21:00:00,2011-09-06 21:00:00
5.05,2011-05-03 21:00:00,2011-07-10 21:00:00
4.77,2011-01-30 21:00:00,2011-05-03 21:00:00
4.53,2010-10-31 21:00:00,2011-01-29 21:00:00
4.53,2010-07-05 21:00:00,2010-10-30 21:00:00
4.31,2010-05-11 21:00:00,2010-07-05 21:00:00
3.80,2010-03-25 21:00:00,2010-05-11 21:00:00
3.52,2010-01-07 21:00:00,2010-03-24 21:00:00
3.33,2009-09-21 21:00:00,2010-01-06 21:00:00
3.20,2008-12-31 22:00:00,2009-09-20 21:00:00

